,Application_Name,Total_Volume_Mn,Total_Value_Cr
0,Airtel Payments Bank Apps,9.04,640.22
1,Allahabad Bank Apps,0.03,8.96
2,Amazon Pay,53.44,5351.07
3,AU Small Finance Bank Apps,0.63,184.93
4,Axis Bank Apps,51.74,1869.89
5,Bajaj Finserv,7.68,1053.08
6,Bandhan Bank Apps,0.01,1.44
7,Bank of Baroda Apps,1.06,392.74
8,Bank of India Apps,0.22,66.93
9,Bank of Maharashtra Apps,0.06,19.83
10,BHIM,23.77,7368.61
11,BPAYWALLET,0.05,9.91
12,Canara Bank Apps,1.4,383.46
13,Central Bank of India Apps,0.41,91.27
14,Citi Bank Apps,0.1,58.17
15,City Union Bank Apps,0.06,18.31
16,Cointab,0.02,10.61
17,Cred,45.7,20729.56
18,DBS Digibank Apps,0.41,173.13
19,Deutsche Bank Apps,1.65,143.66
20,DHANI,0.08,9.21
21,Dhanlaxmi Bank Apps,0.01,2.8
22,Equitas Small Finance Bank Apps,0.02,13.86
23,FAM,11.78,146.58
24,Fave,0.03,3.27
25,Federal Bank Apps,5.18,624.64
26,Fino Payments bank Apps,0.08,5.67
27,Google Pay,3109.24,474049.9
28,Groww,0.11,80.85
29,HDFC Bank Apps,14.48,3701.81
30,HSBC Bank Apps,0.14,90.13
31,ICICI Bank Apps,41.98,16704.57
32,IDBI Bank Apps,0.07,32.02
33,IDFC Bank Apps,12.66,2865.32
34,India Post Payments Bank Apps,5.24,746.48
35,Indian Bank Apps,0.27,86.37
36,Indian Overseas Bank Apps,0.03,7.76
37,IndusInd Bank Apps,0.8,877.27
38,Jio Payments Bank Apps,1.49,112.21
39,Jupiter,2.72,380.27
40,Akudo & Muvin (Livquik),0.11,4.25
41,Karnataka Bank Apps,0.51,110.35
42,Karur Vysya Bank Apps,0.04,14.19
43,Kotak Mahindra Bank Apps,13.98,2845.65
44,MakeMyTrip,0.02,12.91
45,Mobikwik,3.48,923.59
46,NSDL Payments Bank Apps,0.02,3.42
47,OMNI,0.26,6.74
48,Paytm Payments Bank App,1299.25,155711.73
49,PhonePe,4216.99,710178.44
50,PINELABS,0.02,1.31
51,Punjab National Bank Apps,1.03,148.28
52,Punjab Sind Bank Apps,0.04,14.04
53,RBL Bank Apps,1.66,492.33
54,Samsung Pay,5.67,511.04
55,Slash,0.01,0.32
56,slice,0.66,170.62
57,South Indian Bank Apps,0.22,63.81
58,Standard Chartered Bank Apps,0.16,94.22
59,State Bank of India Apps,4.09,1910.15
60,Tamilnad Mercantile Bank Apps,0.06,13.15
61,TataNeu,0.15,16.46
62,UCO Bank Apps,0.34,111.87
63,Ultracash,0.03,2.1
64,Union Bank Apps,0.74,301.17
65,Utkarsh Small Finance Bank Apps,0.02,6.43
66,WhatsApp,14.83,1319.01
67,Yes Bank Apps,35.33,12454.98
68,Others,0.03,8.54
0,PhonePe,4987.33,775265.57
1,Google Pay,3767.68,538113.42
2,Paytm Payments Bank App,1484.82,176804.51
3,Cred,85.13,31926.2
4,Axis Bank Apps,69.43,3037.11
5,Amazon Pay,54.02,5836.99
6,ICICI Bank Apps,38.57,20999.12
7,Yes Bank Apps,28.94,11254.77
8,BHIM,24.61,7793.58
9,Kotak Mahindra Bank Apps,21.17,3678.04
10,FAM,20.27,235.89
11,WhatsApp,19.7,1677.53
12,HDFC Bank Apps,18.94,4671.76
13,Bajaj Finserv,13.22,1995.11
14,Airtel Payments Bank Apps,10.2,699.27
15,Samsung Pay,6,538.48
16,Federal Bank Apps,5.7,700.66
17,India Post Payments Bank Apps,5.56,498.37
18,State Bank of India Apps,5.39,2104.81
19,Groww,4.74,2911.09
20,IDFC Bank Apps,4.36,1107.81
21,Mobikwik,3.96,1203.54
22,Jupiter,3.94,500.95
23,Standard Chartered Bank Apps,3.59,514.44
24,Deutsche Bank Apps,2.08,359.86
25,Canara Bank Apps,1.64,492.29
26,Jio Payments Bank Apps,1.42,113.65
27,RBL Bank Apps,1.38,548.31
28,Bank of Baroda Apps,1.27,466.84
29,slice,0.96,306.89
30,Union Bank Apps,0.9,324.77
31,Punjab National Bank Apps,0.86,179.75
32,IndusInd Bank Apps,0.85,391.31
33,OMNI,0.77,25.2
34,AU Small Finance Bank Apps,0.71,218.16
35,KIWI,0.69,69.86
36,Karnataka Bank Apps,0.65,127.83
37,DBS Digibank Apps,0.46,174.06
38,Central Bank of India Apps,0.45,96.41
39,UCO Bank Apps,0.38,132.77
40,Indian Bank Apps,0.33,91.69
41,Bank of India Apps,0.29,85.09
42,South Indian Bank Apps,0.28,77.42
43,Fino Payments bank Apps,0.21,15.43
44,HSBC Bank Apps,0.17,98.19
45,BPAYWALLET,0.15,32.07
46,Fave,0.12,7.54
47,TataNeu,0.1,16.09
48,Tamilnad Mercantile Bank Apps,0.1,25.45
49,Ultracash,0.09,6.17
50,Citi Bank Apps,0.08,58.11
51,Indian Overseas Bank Apps,0.07,19.01
52,City Union Bank Apps,0.07,19.79
53,IDBI Bank Apps,0.06,31.69
54,INDIE,0.05,12.6
55,Bank of Maharashtra Apps,0.05,8.18
56,Karur Vysya Bank Apps,0.05,16.11
57,MakeMyTrip,0.04,20.49
58,SHRIRAMHDFCBANK,0.04,2.33
59,Equitas Small Finance Bank Apps,0.03,19.23
60,NSDL Payments Bank Apps,0.03,5.39
61,Allahabad Bank Apps,0.03,7.81
62,Punjab Sind Bank Apps,0.03,12.74
63,DHANI,0.03,4.2
64,Utkarsh Small Finance Bank Apps,0.02,6.67
65,Jammu and Kashmir Bank Apps,0.01,2.8
66,DIGIKHATA,0.01,3.81
67,ZOICICI,0.01,1
68,Dhanlaxmi Bank Apps,0.01,3.02
69,GoIbibo,0.01,2.99
70,SURYODAY,0.01,0.03
71,Bandhan Bank Apps,0.01,0.87
72,Others,0.03,8.46
0,Airtel Payments Bank Apps,8.71,730.45
1,Allahabad Bank Apps,0.03,8.47
2,Amazon Pay,47.8,4981.82
3,AU Small Finance Bank Apps,0.55,165.07
4,Axis Bank Apps,51.95,1413.95
5,Bajaj Finserv,5.44,882.75
6,Bandhan Bank Apps,0.01,1.71
7,Bank of Baroda Apps,1.14,409.33
8,Bank of India Apps,0.24,68.69
9,Bank of Maharashtra Apps,0.07,19.02
10,BHIM,23.21,7158.37
11,Bajaj Finserv,0.01,3.43
12,Canara Bank Apps,1.09,284.23
13,Central Bank of India Apps,0.32,72.15
14,Citi Bank Apps,0.08,59.37
15,City Union Bank Apps,0.06,15.94
16,Cointab,0.04,16.4
17,Cred,36.57,17902.2
18,DBS Digibank Apps,0.39,161.51
19,Deutsche Bank Apps,1.32,118.35
20,Transerv,0.02,3.13
21,Dhanlaxmi Bank Apps,0.01,2.67
22,Equitas Small Finance Bank Apps,0.02,11.41
23,EROUTE,0.17,6.08
24,FamPay PPI,1.6,21.73
25,Fave,0.11,7.08
26,Federal Bank Apps,4.76,590.97
27,Fino Payments bank Apps,0.1,6.5
28,Google Pay,2639.55,424442.48
29,Groww,0.21,158.9
30,HDFC Bank Apps,11.87,3116.17
31,HSBC Bank Apps,0.12,73.04
32,ICICI Bank Apps,40.52,14831.4
33,IDBI Bank Apps,0.07,29.25
34,IDFC Bank Apps,22.28,3044.21
35,India Post Payments Bank Apps,4.05,609.49
36,Indian Bank Apps,0.24,68.57
37,Indian Overseas Bank Apps,0.01,2.31
38,IndusInd Bank Apps,0.78,848.43
39,Jio Payments Bank Apps,1.5,104.03
40,Jupiter,2.39,314.07
41,Karnataka Bank Apps,0.39,88.38
42,Karur Vysya Bank Apps,0.04,14.78
43,Kotak Mahindra Bank Apps,12.09,2521.65
44,MakeMyTrip,0.05,22.7
45,Mobikwik,3.39,804.92
46,NSDL Payments Bank Apps,0.02,3
47,Paytm Payments Bank App,1137.53,136528.25
48,PhonePe,3519.12,620121.97
49,Punjab National Bank Apps,0.33,90.01
50,Punjab Sind Bank Apps,0.04,12.34
51,RBL Bank Apps,1.74,489.45
52,Samsung Pay,5.24,488.33
53,Slash,0.01,0.49
54,slice,0.47,117.78
55,South Indian Bank Apps,0.2,54.81
56,Standard Chartered Bank Apps,0.14,82.79
57,State Bank of India Apps,3.72,1753.93
58,Tamilnad Mercantile Bank Apps,0.06,10.21
59,TataNeu,0.13,14.54
60,UCO Bank Apps,0.31,97.44
61,Ultracash,0.03,1.67
62,Union Bank Apps,0.71,280.27
63,Utkarsh Small Finance Bank Apps,0.02,9.01
64,WhatsApp,11.63,970.67
65,Yes Bank Apps,26.55,7518.24
66,Others,0.03,9.01
0,Airtel Payments Bank Apps,9.77,834.63
1,Allahabad Bank Apps,0.03,9.17
2,Amazon Pay,57.75,5797.03
3,AU Small Finance Bank Apps,0.58,181.45
4,Axis Bank Apps,56.28,1467.64
5,Bajaj Finserv,5.01,812.4
6,Bajaj Markets,0.01,0.5
7,Bandhan Bank Apps,0.01,1.47
8,Bank of Baroda Apps,1.1,423.46
9,Bank of India Apps,0.24,70.34
10,Bank of Maharashtra Apps,0.08,20.39
11,BHIM,24.96,8164.65
12,Canara Bank Apps,1.08,289.29
13,Central Bank of India Apps,0.31,68.68
14,Citi Bank Apps,0.12,71.81
15,City Union Bank Apps,0.05,15.51
16,Cointab,0.05,21.16
17,Cred,35.18,19106.82
18,DBS Digibank Apps,0.41,174.02
19,Deutsche Bank Apps,1.31,150.29
20,Dhanlaxmi Bank Apps,0.01,2.76
21,Equitas Small Finance Bank Apps,0.02,13.02
22,Eroute,0.08,2.29
23,Fampay PPI,12.8,175.64
24,Fave,0.11,7.87
25,Federal Bank Apps,4.72,604.61
26,Fino Payments bank Apps,0.11,7.51
27,GoIbibo,0.01,1.6
28,Google Pay,2782.42,443725.01
29,Groww,0.19,152.17
30,HDFC Bank Apps,12.3,3324.81
31,HSBC Bank Apps,0.13,75.58
32,ICICI Bank Apps,45.14,17088.16
33,IDBI Bank Apps,0.07,30.81
34,IDFC Bank Apps,11.47,2222.2
35,India Post Payments Bank Apps,5.43,707.37
36,Indian Bank Apps,0.26,73.38
37,Indian Overseas Bank Apps,0.01,2.31
38,IndusInd Bank Apps,0.84,962.09
39,Janata Sahakari Bank Apps,0.01,3.98
40,Jio Payments Bank Apps,1.59,108.84
41,Jupiter,2.49,323.88
42,Karnataka Bank Apps,0.4,85.81
43,Karur Vysya Bank Apps,0.04,15.27
44,Kotak Mahindra Bank Apps,12.14,2612.6
45,MakeMyTrip,0.08,35.59
46,Mobikwik,3.49,785.48
47,NSDL Payments Bank Apps,0.02,3
48,Paytm Payments Bank App,1190.89,139673
49,PhonePe,3802.67,651108.51
50,Punjab National Bank Apps,0.25,82.15
51,Punjab Sind Bank Apps,0.04,13.08
52,RBL Bank Apps,1.32,242.88
53,Samsung Pay,5.52,523.73
54,Slash,0.01,0.68
55,slice,0.22,45.82
56,South Indian Bank Apps,0.19,56.75
57,Standard Chartered Bank Apps,0.15,85.16
58,State Bank of India Apps,4.06,1901.92
59,Tamilnad Mercantile Bank Apps,0.07,11.67
60,TataNeu,0.11,14.79
61,Transerv,0.01,0.71
62,UCO Bank Apps,0.32,101.06
63,Ultracash,0.04,2.25
64,Union Bank Apps,0.8,303.93
65,Utkarsh Small Finance Bank Apps,0.02,8.35
66,WhatsApp,11.47,963.12
